"year","yearly_average"
1980,4.27845302099334
1981,5.51916282642089
1982,4.54316596262161
1983,5.73214765745008
1984,5.5005120327701
1985,4.6474366359447
1986,4.89120583717358
1987,5.40702604966718
1988,5.01576100870456
1989,4.26612903225806
1990,6.11614983358935
1991,5.75260656682028
1992,4.48074116743472
1993,4.76361207117256
1994,4.91433851766513
1995,5.23842165898617
1996,5.08946012544803
1997,4.62122215821813
1998,6.60038562467998
1999,6.26337525601638
2000,4.84834709421403
2001,5.76418650793651
2002,5.42428795442908
2003,4.60911578341014
2004,4.64940796210958
2005,5.45995903737839
2006,6.61268081157194
2007,4.85376664106503
2008,5.31659306195596
2009,4.82630408346134
2010,6.70686283922171
2011,6.01199756784434
2012,6.72343189964158
2013,5.53839925755248
2014,4.98466461853559
2015,4.91507456477215
2016,6.10541474654378
